x,y,z
7.559006,0.078116,-1.471311
7.595184,0.058067,-1.473595
7.426476,-0.149387,-1.573555
7.462653,-0.169435,-1.575839
7.468593,-0.159240,-1.571257
7.425201,-0.144929,-1.572095
7.429488,-0.137570,-1.568788
7.395411,-0.222838,-1.360126
7.399698,-0.215478,-1.356818
7.438802,-0.237149,-1.359288
7.396686,-0.227295,-1.361585
7.432863,-0.247344,-1.363870
7.514133,-0.011379,-1.260950
7.517349,-0.009011,-1.230795
7.520858,0.000166,-1.255761
7.425283,-0.132932,-1.601276
7.421774,-0.142108,-1.576310
7.428499,-0.130564,-1.571122
7.390823,-0.223053,-1.356080
7.387315,-0.232229,-1.331115
7.397548,-0.211509,-1.350892
7.555318,0.090286,-1.500956
7.545084,0.069566,-1.481180
7.551809,0.081111,-1.475991
7.563671,0.295060,-2.048820
7.592986,0.293640,-2.083660
7.569059,0.308885,-2.086567
7.441494,0.145102,-2.159545
7.461287,0.119308,-2.127806
7.417514,0.152625,-2.145201
7.543878,0.320854,-2.080559
7.466676,0.133133,-2.165553
7.490602,0.117888,-2.162646
7.510937,0.100854,-2.151103
7.613321,0.276606,-2.072117
7.519897,0.328377,-2.066215
7.508555,0.325603,-2.045340
7.512007,0.329404,-2.058272
7.509130,0.330444,-2.056858
7.516402,0.088765,-2.131286
7.516553,0.094405,-2.144032
7.519066,0.092439,-2.142914
7.618786,0.264517,-2.052300
7.621450,0.268191,-2.063928
7.618937,0.270157,-2.065046
7.406172,0.149851,-2.124326
7.406747,0.154692,-2.135844
7.409624,0.153652,-2.137258
7.488182,-0.051255,-1.857728
7.463349,-0.041409,-1.847447
7.485773,-0.046387,-1.865435
7.481168,-0.041032,-1.871382
7.474818,-0.035714,-1.874985
7.467348,-0.030954,-1.875893
7.459484,-0.027216,-1.874017
7.452000,-0.024868,-1.869540
7.445625,-0.024139,-1.862900
7.440986,-0.025100,-1.854748
7.438537,-0.027658,-1.845880
7.438516,-0.031562,-1.837168
7.440926,-0.036429,-1.829460
7.445531,-0.041785,-1.823514
7.451880,-0.047103,-1.819910
7.459352,-0.051864,-1.819002
7.467214,-0.055601,-1.820878
7.474699,-0.057949,-1.825355
7.481073,-0.058678,-1.831995
7.485712,-0.057716,-1.840148
7.488161,-0.055159,-1.849013
7.403080,-0.049877,-1.751627
7.395360,-0.048996,-1.743583
7.376581,-0.052266,-1.772015
7.500601,-0.019242,-2.006390
7.528502,-0.013431,-1.995450
7.523036,-0.014709,-1.985520
7.245709,0.026458,-1.780572
7.259512,0.063746,-1.881431
7.393050,-0.002673,-1.906738
7.531188,0.170033,-1.652796
7.525089,0.202663,-1.657446
7.523468,0.170915,-1.644751
7.649155,0.235767,-1.891784
